흑각룡 38161,4058
흑랑조갑각 21815,17901|21815,17948|23733,5519|24789,9075|26754,5014|26774,5261|26774,5361|33119,5297|37097,6104|38917,16033|39826,4062|39826,7658|39826,8117|47038,4972
흑랑조강익 19406,14684|21815,18344|26754,27218|33119,27262|33645,4213|37097,21640|38917,16249|45997,20539
흑랑조견각 21815,18133|23733,17589|26754,15227|26774,15147|33119,15250|37097,14926|38917,16059|45997,20323|47038,14785|49792,18949
흑랑조귀 19406,14311|23733,5494|23733,8647|24789,9101|27445,14623|27798,6518|33645,3834|37097,6092|38917,16113|39826,7612|45794,5541
흑랑조꼬리 19406,14249|19406,14292|21815,17959|26774,5378|26774,15160|27798,6468|33645,3783|38917,16276|45997,20266|45997,20334
흑랑조날개 19406,14257|21815,17893|21815,17940|26754,5027|26754,15275|26774,5278|27798,6716|33119,15263|33645,3791|33645,3841|33645,4020|37097,14939|38917,16222|45794,1755|45997,20277|45997,20342
흑랑조비늘 19406,14268|26754,5001|26774,5244|26774,5341|27445,14674|27798,6460|27798,6528|33119,5284|33645,3802|33645,3852|38917,15933|39826,4056|39826,8111|45794,3541|47038,4959
흑랑조상린 19406,14486|24789,19824|26754,15215|26774,15134|27798,6724|33119,15237|33645,4031|38917,15979|45997,20258|45997,20315|47038,14772
흑랑조은빛털 23733,30636|24789,29236|25899,5556|25899,5715|25899,9814|27445,15039|27798,6934|37097,21613|38917,16357|45794,6254|45997,20550|49792,18929
흑랑조인미 19406,14676|21815,18363|25899,5565|25899,5707|26774,27145|27445,11042|27445,16375|33645,18325|38917,16303|43111,3769|45794,4464|45997,20531
흑랑조중각 21815,18352|23733,30595|25899,5496|25899,5548|26754,27169|26774,27137|33119,27254|33645,4233|37097,21627|38917,16086|47038,26681
흑랑조지옥귀 19406,14494|23733,17561|23733,30608|27445,14859|27798,6943|33645,4011|33645,4204|37097,14912|38917,16139|45794,5575|49792,18761
흑랑조후린 19406,14695|24789,29209|25899,5488|26754,27157|26774,27129|27798,6926|33119,27246|38917,16006|39826,8572|45997,20559|47038,26673|49792,18938
흑룡 38161,8278|51013,15441
흑룡갑각 21815,22372|25899,17005|25899,17042|26754,23092|26774,23143|27798,23305|33119,23214|37097,13756|38917,26342|43111,13714|47038,22624|49792,20670
흑룡강각 19406,23664|21815,22544|23733,36403|25899,17161|26754,32484|26774,32383|27445,25821|27798,23465|27798,23826|33645,22361|37097,23688|38917,26262|43111,13899|45997,16799
흑룡강익 24789,39309|26754,32508|33119,32660|38917,26468|45794,6237|47038,31939|49792,8714|49792,20854
흑룡강홍각 19406,24008|23733,38070|26754,33942|26774,33832|27798,17947|33645,22700|37097,22498|38917,26539
흑룡강홍익 26774,33858|33119,34059|38917,26728|47038,33408|49792,8721
흑룡검 33645,22145|33645,22305
흑룡눈 19406,23506|23733,26197|27445,25664|38917,26393|43111,13699|45794,1629
흑룡마안 21815,21833|23733,28470|23733,28668|27798,17763|27798,23653|38917,26676
흑룡비늘 21815,21814|23733,26208|24789,20705|25899,16995|25899,17032|26754,23104|33119,23202|33645,22203|37097,13779|38917,26291|45794,2888|45997,16604|47038,22636
흑룡뿔 19406,23500|21815,22379|23733,26220|25899,16989|25899,17026|26754,23081|26774,23132|27445,25658|27798,23299|27798,23638|33645,22197|37097,13768|38917,26228|43111,13705|45794,4234|45997,16588
흑룡사안 19406,23671|21815,22027|21815,22901|23733,36379|23733,38058|23733,38250|27445,25828|27445,26198|27798,17966|27798,23843|38917,26417|43111,13892
흑룡쌍인 27798,23246|27798,23405
흑룡을 51013,15447
흑룡익막 23733,23539|23733,26651|24789,20680|26754,20604|26754,23543|26774,20566|26774,23155|26774,23505|33119,20736|33119,23226|33119,23568|38917,26443|45997,16594|47038,20112|47038,22648|47038,23098|49792,20677
흑룡중각 21815,22537|25899,17178|26754,32496|26774,32395|27445,25838|27798,23472|33119,32653|37097,23676|38917,26367|43111,13909|47038,31925|49792,20847
흑룡중홍각 19406,24016|23733,38045|26754,33955|26774,33845|33119,34051|37097,22485|38917,26649|47038,33392
흑룡창 19406,23448|19406,23608
흑룡철단 19406,23838|26754,25265|26774,25221|33119,25311|37097,14634|38917,26623|47038,24763
흑룡총창 43111,13641|43111,13828
흑룡홍각 19406,23831|23733,28494|26754,25253|26774,25209|27798,17753|33645,22525|37097,14646|38917,26495
흑룡홍린 21815,21822|23733,28482|26754,25277|33119,25299|33645,22532|37097,14658|38917,26570|47038,24775
흑룡홍익 26774,25233|33119,25323|38917,26702|47038,24787|49792,8511
흑룡후린 21815,22001|23733,36391|24789,39321|25899,17168|26774,32407|27798,28064|33119,32646|33645,22368|37097,23700|38917,26316|45997,16806|47038,31932
흑룡후홍린 21815,22008|26754,33968|33119,34043|33645,22708|37097,22511|38917,26596|47038,33400
흑메라 36663,4621
흑멸룡창 19406,23771|19406,23946
흑묠룡검 33645,22468|33645,22639
흑무투 38161,3265|38161,3284
흑색 21239,5730|38161,3346|38161,3391|38161,4168
흑요의반지 51013,15409
흑우 19406,27301
흑익 27798,16709
흑자 45766,9294|45766,13714
흑자의대 47038,21141|47038,30226
흑자의롱수 26774,21649|26774,30610
흑자의면은 23733,24618|23733,34468
흑자의버선 33119,21735|33119,30909
흑자의장복 26754,21601|26754,30892
흑주 33645,10530
흑진주 19406,7467|19406,17253|19406,21098|21815,4044|21815,19322|21815,30443|23733,8360|24789,7673|24789,34971|25899,6578|25899,7296|26754,17788|26774,9711|27445,24245|27798,1303|33013,7369|33013,7559|33119,9106|33119,9546|33119,9644|33645,21347|33645,23872|37097,28021|38917,7628|38917,9615|39826,1532|39826,3649|39826,9037|43111,10516|45794,5458|45997,4413|45997,4463|47038,27017|47038,28884|49792,4990
흑창그라비모스 19406,9604
흑창그라비모스g 19406,34110
흑천백야 27798,23758
흑총창 43111,13354|43111,13484
흑풍 37097,20663
