기가 39242,12123
기절 26312,488|26312,582|26312,1479|26312,1554|26312,2538|26312,2658|26312,3437|26312,3552|26312,4379|26312,4491|26312,5121|26312,5239|26312,6036|26312,6153|26312,14119|26312,14258|26312,14768|26312,14826|26312,15625|26312,15730|26312,16483|26312,16592|26312,18104|26312,18213|26312,18632|26312,18742|26312,21601|26312,21706|26312,22113|26312,22211|26312,25652|26312,25790|26312,28258|26312,28385|26312,29565|26312,29624|26312,32747|26312,32858|26312,37828|26312,37957|29333,505|29333,605|29333,1431|29333,1498|29333,2515|29333,2626|29333,3257|29333,3372|29333,4108|29333,4758|29333,5503|29333,9350|29333,9472|29333,11916|29333,12528|29333,12586|29333,13484|29333,13592|29333,14305|29333,15652|29333,16076|29333,18820|29333,19235|29333,19342|29333,22550|29333,22688|29333,25002|29333,25125|29333,26287|29333,29004|29333,29634|29333,29737|29333,33729|29333,33856|29353,492|29353,591|29353,1487|29353,1607|29353,2672|29353,2794|29353,3492|29353,3602|29353,4325|29353,4962|29353,5747|29353,5859|29353,9446|29353,9570|29353,12060|29353,12646|29353,12702|29353,13525|29353,13629|29353,14262|29353,15650|29353,16142|29353,18963|29353,19371|29353,19481|29353,22583|29353,22715|29353,25003|29353,25127|29353,26213|29353,26274|29353,28995|29353,29638|29353,29740|29353,33638|29353,33747|30024,36997|35698,496|35698,597|35698,1458|35698,1524|35698,2711|35698,2820|35698,3523|35698,3626|35698,4362|35698,5003|35698,5073|35698,5828|35698,5941|35698,9447|35698,9639|35698,12166|35698,12802|35698,12859|35698,14310|35698,15712|35698,15820|35698,16176|35698,18949|35698,19425|35698,19541|35698,22680|35698,22814|35698,25098|35698,25220|35698,26338|35698,26398|35698,29189|35698,29849|35698,29951|35698,33852|35698,33961|39242,542|39242,5549|39242,5569|39242,14802|39242,14849|39242,14958|47905,1303|48373,331|48373,386|48373,436|48373,701|48373,741|48373,5855|48373,5902|48373,8575|48373,8628|49617,652|49617,739|49617,1596|49617,1661|49617,2745|49617,2859|49617,3508|49617,3607|49617,4201|49617,4296|49617,4719|49617,5449|49617,5564|49617,8755|49617,8875|49617,11565|49617,11700|49617,13072|49617,13178|49617,13811|49617,13916|49617,15254|49617,15696|49617,15801|49617,18633|49617,18737|49617,19068|49617,19178|49617,22097|49617,22232|49617,24557|49617,24680|49617,25770|49617,25827|49617,28548|49617,28640|49617,29221|49617,29337|49617,33190|49617,33306
기절값 30838,1959|30838,2031|30838,2102|48576,25291|48576,25312
기절값을 48576,26147
기절값이 48576,26180
기절낭 24394,17062|28478,6387|29333,28542|29353,30164|30377,20502|36224,13408|36224,30050|41496,12255|45690,16176|48576,18150
기절등을 48576,26792
기절무효 37895,2861|37895,8575|37895,10594|42049,697|42049,1978|42049,5295|42049,8302|42049,12905|47905,1309|47905,2086|48345,731|48345,1946|48345,5286|48345,8290|48345,12879|48576,13398|48576,24660
기절배가 42049,1607|42049,5106|42049,5696|42049,6031|42049,6727|42049,6935|42049,8536|42049,10759|42049,11513|42049,15264|47905,1365|48345,454|48345,1568|48345,5097|48345,5689|48345,6048|48345,6727|48345,6953|48345,8538|48345,10765|48345,11529|48345,15256
기절수치의 47905,1337
기절시간이 47905,1371
기절시킬 48576,26156
기절을 48576,26666
기절치가 30024,37038|30838,2450|48576,25493|48576,25690
기절치를 30024,36976
기절치에서는 48576,26559
기절하기 44611,5658
기절하지 47905,1314
기절확률감소 42049,13216|47905,1330|48345,13221
기절효과 41496,3496
기준 30024,37583
기척 53592,7424
기초 33821,4820
기초의 33821,4816
기초훈련 33821,4687|33821,4811|33821,4879|33821,4956|33821,5038|33821,5103|33821,5180|33821,5258
기타 39242,15032
기타는 28478,22042
기폭식 41496,4410|41496,4464
기폭한다 41496,4433|41496,4488
기폭할 47905,10370
기폭했을 47905,10295
기품있는 53592,15007
기회가 28478,22848|28478,23288
